input,output
what is -50848183934464467232 - -94877031514142706732,44028847579678239500
what is -92384533421281033772 * 51951800868028368603,-4799542883588103840140095467494507460516
what is -90719757962943429265 + -39630242908430607781,-130350000871374037046
what is 31223613926636077516 * -15740540874699757816,-491476571268059783352560434813402865056
what is -95380936370183387154 + 20187787337828053860,-75193149032355333294
what is -84109366595973182649 * 82842186566658930287,-6967803839547120950411724915621208990263
what is 52336028478044494769 - -49002989726146985660,101339018204191480429
what is 20191851329647104595 * 13480897403800209674,272204276167759464011158242888008852030
what is 66042383413481458485 - -45309878947604131842,111352262361085590327
what is -83120315203905925111 * 30530922172994053464,-2537739874485186147230816012278714134504
what is -45827477772697519184 + -45202219434437722132,-91029697207135241316
what is 94085074041733704426 * 44195866276772321270,4158171350988685547885561145180092941020
what is -35792325062795981888 / -68185677587658182418,0.52
what is -88916653929572307051 / 66133417675993753104,-1.34
what is -12445375933573414261 * 57738488143337239735,-718577190780003210210589283151424860835
what is 2885470408279466407 - -85286674368066802876,88172144776346269283
what is -51075495048003002918 + -81892529126143537074,-132968024174146539992
what is -47325909650066004244 - 83921555966072389045,-131247465616138393289
what is 10634761461110337060 - -98929696473283680471,109564457934394017531
what is 99745266549223559387 * -50115860196418348819,-4998819833635371569050103341288527813953
what is 67866457102813315493 / -88891869669201255388,-0.76
what is -66283184314109175149 - -63055621666648156082,-3227562647461019067
what is -49764852819769466142 - 45890449084604024861,-95655301904373491003
what is -53218292424211938114 - -70583684368489734101,17365391944277795987
what is -78009414727083731225 / 83020367568286503241,-0.94
what is -96785222054889450100 * 56488403330297502245,-5467242659849000476654861957631565474500
what is -55162185723708874701 / 84324591158071567066,-0.65
what is 2507593105499699794 * -91522350933288931893,-229500816199439340495461584774412130042
what is -71596591182071854636 + -74314138909372730231,-145910730091444584867
what is -70929402629747124967 / 44999173521837236772,-1.58
what is 42101936199773481184 - 75061105907216695974,-32959169707443214790
what is 75716598121764770221 / 79024308164911664708,0.96
what is 93192105300264315656 + 75150529118319168609,168342634418583484265
what is -7185538221697103371 / -28326993187384998688,0.25
what is -16061469595512746846 * -69899660994838337330,1122691279805244237677721061095841561180
what is 56999255244292967194 / 59295391401271506968,0.96
what is -22662799968676216485 / 73166625835985783811,-0.31
what is 50264575915709640480 - 42103787965861362935,8160787949848277545
what is 6026345606534395347 + 15067395906219803649,21093741512754198996
what is -72171476413972349825 + 8716872869013392140,-63454603544958957685
what is -8096283791227047574 + 31583642480333701650,23487358689106654076
what is 90970699332198223169 * 34325139114842171371,3122581909952183828276969094316000694699
what is 66549202759963710570 * 82701770762516344125,5503736911082738792867597401506019901250
what is 14642670800501248025 + 15573528390626495763,30216199191127743788
what is 54607948550611240905 * -83770005630731598848,-4574508157567405102804406748691948477440
what is -11266028338085802892 - -97759344045152755051,86493315707066952159
what is 85820572867439864670 / -67977580334060859205,-1.26
what is 96245565330860365424 * 58629561934069218937,5642835333445183011855446377806080834288
what is 84655638643250623966 - -98466099151547975983,183121737794798599949
what is 99757847424553498123 + 92748525381873263939,192506372806426762062
what is 17723849587407340598 / 21956051021216774081,0.81
what is -53974745723995680076 - -4883364391260601401,-49091381332735078675
what is -31314830736656156233 + -10136190804012895286,-41451021540669051519
what is 16132413841151184985 - 70501390450625411763,-54368976609474226778
what is -39475194203136778869 + 90399116309719862611,50923922106583083742
what is 99091405199573366235 - -37279421157279767955,136370826356853134190
what is -23084073246707448622 + 70222468589915485205,47138395343208036583
what is 19113562896619102151 - -82908151171696248596,102021714068315350747
what is -79447541056463524997 - -40080720975121329612,-39366820081342195385
what is -59250626063550982086 + -56544831959208075164,-115795458022759057250
what is 28469860126968460901 - 11602890218068098640,16866969908900362261
what is -32115294244427812227 + -20799457231520100994,-52914751475947913221
what is 64955552766133635209 + -50847035126526479302,14108517639607155907
what is -62581299233321367060 - 99424579119362860568,-162005878352684227628
what is -74169197518006307489 + 90967228308999144848,16798030790992837359
what is 80855752643514591690 - 17041962404652866165,63813790238861725525
what is 11239413840189047985 * -40191335020868270582,-451727047089221620096350734383961877270
what is 20748088385973747451 * -13394606874194542508,-277912487321159907941517583025276147108
what is 47755232942226589485 + 40755858344412027558,88511091286638617043
what is -55347168744966233611 + -96180397182883081519,-151527565927849315130
what is 67016331871602943573 * -27453177125536612987,-1839811229174860201604353523653699982551
what is 31310899947967718423 * -77280196178010875922,-2419712490489015807046088688258086511006
what is 31499236876467223451 + -40521577357654852198,-9022340481187628747
what is 94444991928220318169 - 46767696645076193555,47677295283144124614
what is 4859671133712617982 / 74802587130693031461,0.06
what is 96735833699537345816 + -8170535595841987710,88565298103695358106
what is 40577830259266816723 + 92845349438322099834,133423179697588916557
what is -64533257879880683519 + -54535164354505614672,-119068422234386298191
what is -68981568056745693448 - -65625076056986856406,-3356491999758837042
what is 72766171879940239193 * 34237504708104163378,2491332152330170720396126806396470873954
what is 37780401631978753062 * -8842201638458739807,-334061929211911777659050333763762539034
what is 54642166391532073954 * -56450385953072307218,-3084571382113981908719103551187383999972
what is -56950657921753958278 / -96456981303164142044,0.59
what is -68996190637721317220 * -93663524537190903990,6462426394768911921290972271105353707800
what is 29871262923616447516 / -64187385025201326635,-0.47
what is 86015618445638578211 / -92763346386944618334,-0.93
what is -60396767897121793663 + 48099501349272139054,-12297266547849654609
what is 52341315726267907813 + 23170359048241346511,75511674774509254324
what is -77417164281598016036 - -24419247483934198239,-52997916797663817797
what is -63516629092122530181 - -17227059521748072800,-46289569570374457381
what is -36656636368703881980 - 68923357990788989392,-105579994359492871372
what is -92242538180725640934 + -93887592739107196735,-186130130919832837669
what is -35839831518338428187 * 90657864024722404065,-3249162572458485524968697647055999380155
what is 62159954115947706172 + 32697374793471793707,94857328909419499879
what is -3952447378933470412 + -33264263543986471330,-37216710922919941742
what is -70923527411217448673 * -23048861886224994917,1634706587785043534740505072011133395141
what is 92567353549608107836 / -71317318121899643382,-1.3
what is -46404875392447903286 * -89964447113862359138,4174788958069252183123514698905622327468
what is 23664243091056952214 / -30633839033672902525,-0.77
what is -36925984517272887736 - 48171867052467620506,-85097851569740508242
what is -37071913793133746074 / -55714896254573505636,0.67
what is 68986260349808742062 - 88735682519213040021,-19749422169404297959
what is -36079484483211544338 + -80295099482731035024,-116374583965942579362
what is 52781666562135835930 * -61427539925841189614,-3242247930098035944585004256091524031020
what is 70898954776935389888 - -82805309075930962249,153704263852866352137
what is -17415423246384545839 - -98538289557367181694,81122866310982635855
what is -89440790840768678553 + 74242181335352390177,-15198609505416288376
what is 80616257045089483388 * 94813710131023007664,7643526427321155666661402855511724685632
what is -68906366311079058253 - 99250938179396031919,-168157304490475090172
what is -75957183805659658511 - -67716362676258997727,-8240821129400660784
what is -41737224790291359917 - -88030241025428811885,46293016235137451968
what is 25661010744921070157 / 91582441415882727095,0.28
what is -90637450613679495226 * -42488501108462957999,3851049420867577845637352091545159012774
what is -64987089235077325338 + -29631131580146383456,-94618220815223708794
what is -15742339346902911598 / 27726690482822161453,-0.57
what is 5869084158867458159 - -6145692608038873619,12014776766906331778
what is 33872735659820206297 + 74214477148249575774,108087212808069782071
what is -49240368976916236591 / 93147659780232057653,-0.53
what is -95759714029001072380 * 65804334864082261061,-6301404288453142469985703669304116595180
what is -55292633187668237516 * -44694672359632558538,2471286124224177462179973720196157711608
what is 23984140538382132373 * -13134685063862203183,-315024132499059774579444252701327943259
what is -98410111178146727872 / 54568802881148517324,-1.8
what is 36384159462391118377 - 85816210465783726984,-49432051003392608607
what is -73773061598453821348 * 17459161156370040493,-1288015771446219247422776378377347844564
what is -74096106187038948830 / 29581051413218785700,-2.5
what is -37846600570313355115 * -64394285635279205976,2437104807449079087781014769965718167240
what is 36649453929160119762 - 17026797378204312960,19622656550955806802
what is -80006367359383986689 - 83706441443913111821,-163712808803297098510
what is 95614208656759943297 * 93456780020683405705,8935796065286537002330492658004646309385
what is -31909777285025016068 / -92645330482675329382,0.34
what is -91015413551563295202 * -77952075110143778034,7094840353352259862729547350430705192868
what is 7892523566786946488 + 23472911599395016839,31365435166181963327
what is -67918529741602189544 - 55710771837524231615,-123629301579126421159
what is 27123550080974329453 / 6124122490755420222,4.43
what is 93589742026309721170 + -53980719289094923038,39609022737214798132
what is -3197238459250798532 - 86332933359301574116,-89530171818552372648
what is -59544935463875979002 - -18840375929509508116,-40704559534366470886
what is 42639528737754117077 - 89991374279566469771,-47351845541812352694
what is -20159339275707360372 - 93285285084644825850,-113444624360352186222
what is 65052603679894823158 / 23640877462987165153,2.75
what is 67216658172085585479 + -82656681287119641405,-15440023115034055926
what is 99518482011348434523 - 65755974395333992072,33762507616014442451
what is -44930069620159353100 * 67669374388279357003,-3040389702418019746737457468064434759300
what is -70617406658589351544 * -24347306495999094060,1719343643869282197910270547386862228640
what is 35649260746996118165 / -81403900089556097180,-0.44
what is 25418256511937560319 - -4722960349689256997,30141216861626817316
what is -19983075048373614507 - -93624035973834821648,73640960925461207141
what is 5216124509795423452 - -2990378389128873538,8206502898924296990
what is 47935532393397603635 / -15748958786837950808,-3.04
what is -54398552578639169241 * 66676671934359427844,-3627114443989925978114521699148243746404
what is 48426125251547760323 + 87423603684011927603,135849728935559687926
what is -95810285632458288708 / -3824890070676233250,25.05
what is -26914802392913814911 - 8806976095358180745,-35721778488271995656
what is 11852220792055541428 - 95284303320942624455,-83432082528887083027
what is 13923446653566764054 * 19994551281902402380,278393068135573056832912136545228048520
what is 31743048858375123099 + -65710640770979229399,-33967591912604106300
what is -71407885932327602707 * 33471577624924149958,-2390134597015632559790412373051914736306
what is 2068368840299554480 * 79591706017076077400,164625004672002718511846311485996752000
what is 85977284335496497052 - 40924904919741833615,45052379415754663437
what is 39414931231533545650 * 93500512330920241272,3685316263636375616308741821059626066800
what is -70603617553378145770 + 37057406929293243077,-33546210624084902693
what is 78775928781709020971 / -46116565083500095154,-1.71
what is 10421331671084144610 - 9712741065440429409,708590605643715201
what is 70458098569909231526 - -30272890598300791838,100730989168210023364
what is 72762335677926396286 + 58472678983425018552,131235014661351414838
what is -43330773529565662851 * 68506899181912954519,-2968456933664257413158476577038050873669
what is -2742549355108525400 - -77455675370653673111,74713126015545147711
what is 41667626033840316456 / -93219592447669000413,-0.45
what is -65417559192173175414 + -32571090456537312562,-97988649648710487976
what is 26629716501431170227 - 63244913228442302200,-36615196727011131973
what is 88066109569615886296 - -43237188811042447885,131303298380658334181
what is -75173135601953392412 / -14497105187674255830,5.19
what is -5234499675168878350 / -15470634860434038680,0.34
what is -46135331069866422158 * 83708670190669299737,-3861927212664786544730799594995480372446
what is -11665886530347890588 + 14686605677220258859,3020719146872368271
what is -82293786324200217884 + 54656074428902915510,-27637711895297302374
what is -35059705751238574620 * -7111207632303688727,249316847124529282699133721239642308740
what is 49948050100615112412 * 90790490275344640980,4534807956932323279895482884244481843760
what is -18818059422065242940 + -55599939378134935121,-74417998800200178061
what is -19702236355521033522 - -23945208956558742784,4242972601037709262
what is 53077488126776176786 * 28867854525917999927,1532233205844914558919653953684887094622
what is 95244296613854483811 + -97928368441089803283,-2684071827235319472
what is 26368131664820320934 / -5303865022513220052,-4.97
what is -78476919575763911925 + -43007543807294412410,-121484463383058324335
what is 2941647564717469572 / 70899053141658841507,0.04
what is -45416224055007468793 * -46651031830517070524,2118713714012048488320198797902710157532
what is -67544068422031144243 / 68270408518019288429,-0.99
what is -52090087389052384203 / 97719170385675672055,-0.53
what is -62562092825901966289 / -98032124901236706360,0.64
what is -58935852283246098295 - 82993121694490630095,-141928973977736728390
what is -13813189708164999108 * -73079663872389658849,1009463260878250340330522045630509306692
what is -44650789722279157798 - 9042114639685031772,-53692904361964189570
what is -65150593460202823566 - -3736613482211377570,-61413979977991445996
what is -34834728569135867055 / -75065189526851085370,0.46
what is -73919459191226702754 - -80481694836784431110,6562235645557728356
what is -86890484802284205596 + 57041121768960493472,-29849363033323712124
what is 31046799677323209928 * 21945148000108883498,681326613848590569855601566373548968144
what is -62442329040615573327 * 41712086353761180852,-2604599821072126344112427611140514334604
what is -22430475721405556703 / -84380275465018981235,0.27
what is 71699657376035834178 / -7523021156616426725,-9.53
what is -71335874571595227030 + 61010807637335115183,-10325066934260111847
what is 96369944883919741647 * -50024982989662686841,-4820904853532815749874918728172586567127
what is 56559238382297644764 + 16182504975336129905,72741743357633774669
what is 27077894301888417303 / 7485126640925244267,3.62
what is -30386046371591166595 - -60546204567930360513,30160158196339193918
what is 48333667311174015219 - -43031725464952849282,91365392776126864501
what is 32340425033418301357 + 12719535233627057745,45059960267045359102
what is 28354730085758891845 / -59779134856203466344,-0.47
what is -51459850409645416245 * 73463955894290857083,-3780444180820996153183716918863341513335
what is 19890343938011215501 + 17225101873917519044,37115445811928734545
what is -79935754695364252607 - -86774001647952077633,6838246952587825026
what is 73349635477785766883 + 53887471758274117445,127237107236059884328
what is 76480902385014621361 / -4067902991722786878,-18.8
what is 79382944339117266625 * -2371655320830108002,-188268982325027766813261539641780033250
what is 62235517940826962979 + 46676582616430820612,108912100557257783591
what is 95251170621412611786 + -84213768500903210793,11037402120509400993
what is -38849680564556334210 * 35063890525796925264,-1362220946277783789874977085933176481440
what is 22426810349440337009 / -12216724787256033138,-1.84
what is -35396970287187667740 - -99002823808237399543,63605853521049731803
what is 46342559703580791268 + -18434536835164008030,27908022868416783238
what is 21472196452537124332 / 62470540480146579243,0.34
what is -27809524685639876106 / -59010100161138403072,0.47
what is 85009247867128277402 + 88887442083868560874,173896689950996838276
what is 6763811337620240574 + 77887482530917704224,84651293868537944798
what is -56367641421480501081 * -69105556398026004061,3895317223275827443696295771898420889941
what is -66624268957601769671 / 76311010088741881699,-0.87
what is -92274760970197969678 - 31532033168895477954,-123806794139093447632
what is 19948594878919693408 - -54852972030541134921,74801566909460828329
what is 31391119484403517999 * 98243873567116640386,3083985173755990922997397779752161307614
what is 21328683393907992553 * 81012547262799824337,1727890971502265009634071909868704162361
what is -3692953030192206499 / -53512669843264740812,0.07
what is -67941080092679858613 - 42133049396523772859,-110074129489203631472
what is 49482009214079459582 - -5886119071213047066,55368128285292506648
what is 10708324735576167405 * -14875437433389601503,-159291014620481526850604023756967609715
what is -27425440365980666640 - -15200469577361651953,-12224970788619014687
what is 12981803260484111804 / 65467825920037943814,0.2
what is -64897731964512945235 * 62355052635826794701,-4046701492592983753162475067391201199735
what is -58147019415008073759 * 7447467325343830477,-433048027159405961352932911634408153043
what is -77963278879716480477 * 35243440468379300116,-2747694177916940993132450554328037835332
what is -38294369075560792954 * 49230016782195698062,-1885232432253453797000247332772281055148
what is 92340338841151960366 * 94152595159126594675,8694082539767553528724196977242146651050
what is -30229713568140684978 * 41514028183011114764,-1254957181032145883217714216606328815192
what is -62154580011788440940 * -16971019903235428421,1054826614457300560448173542856555955740
what is 10974655527839503026 * 33301951850609982305,365477449965141809975233829825853954930
what is -6225998573279991215 - -16264211871081807427,10038213297801816212
what is -30843452868083359040 + -24786581998388322141,-55630034866471681181
what is 93381955000790048888 * -18958192476099695267,-1770353076699458217820939515822832213096
what is -1665955272522177862 / -8154418954551441331,0.2
what is 54012197831235327035 / 95359395066220670020,0.57
what is -69103795889432092220 - -75201742266291260163,6097946376859167943
what is 20614443253177495710 / -36719256802928770409,-0.56
what is 30002038780780371450 - 72009709472269004142,-42007670691488632692
what is 88241104468599888429 * 67209979185074522028,5930682794602584893464372276371302814012
what is -63514629331769414580 - -19279873818462692292,-44234755513306722288
what is -13322195103387757133 * 98962889072480501958,-1318402916218505521387991580311634966414
what is -27988732535230366587 * 63015714267626726537,-1763729972153104573284880154877311019219
what is -99357258419685905116 / -93630068176711999575,1.06
what is 58164183550844233509 * -78650937175903661739,-4574667546345178975182459892045865012151
what is 41874791217453828046 - 53527783197425170630,-11652991979971342584
what is -25669405279141305161 / -44585281696283202948,0.58
what is -3604193350210954396 / 30202874495959688329,-0.12
what is -39071467331561982528 - 40500174855778259896,-79571642187340242424
what is -55239161160065487428 + -69541053057237519258,-124780214217303006686
what is -14092268042196801472 + 3067610510497029403,-11024657531699772069
what is 11594341196447635517 + 20295744114258885492,31890085310706521009
what is 13626363252581822211 / -70631280971683498183,-0.19
what is -40545131454956435277 * 64782491741447169761,-2626614643636605138589479998685228058797
what is -144542444746581676 * 70249868391699008389,-10154087720461788467576632886597679964
what is -86838228939518766125 + -3137327212803678361,-89975556152322444486
what is -63078557663841845128 * -83709261574198047620,5280259483205671933804906148956008995360
what is -17550133436063173710 - 63977041126741178098,-81527174562804351808
what is 68198602378284233155 * -57986398153735845517,-3954591311035505900553839353833889516135
what is 85541532062983598280 * -54092047644637483001,-4627116627946193679521964957565312838280
what is -5495269257273656662 * 39480238305708642637,-216954539831198501712010273397592297694
what is -22109600777598320018 * 26009606265291082033,-575062010908105843536809412618224036594
what is 66295992029846159814 / -12457645042226110348,-5.32
what is 16436326374018349910 / -52612637747346666212,-0.31
what is 30127372718330750794 + 72510198128409327680,102637570846740078474
what is 57802266456813351389 - -29990372239771601978,87792638696584953367
what is 20579027240878070581 + -35897962590411325157,-15318935349533254576
what is 30755374098338317804 - -77361001241368134819,108116375339706452623
what is 39600250446757621950 + -34321484342506910140,5278766104250711810
what is 32518523702264109072 + -57253064008937864611,-24734540306673755539
what is -21573043386903053663 * 85018728985674771824,-1834112729107314099678920233286352391312
what is 15857203946340107168 / -10739501250127106727,-1.48
what is 95603069129086590299 + -61063931988446269268,34539137140640321031
what is -82663154979419957615 - -57231632711630617617,-25431522267789339998
what is 51753030891796268858 / 4507702028737317349,11.48
what is 71380709114623414213 * 19216820678315767602,1371710286946738013777521675053091727226
what is -41393474746126907563 - 84493892459273054513,-125887367205399962076
what is -93071660805254968211 / 88830830994641333869,-1.05
what is -99775388667491137263 / -19385718222666494377,5.15
what is 3588795750604893635 / -25205807197910345298,-0.14
what is -64297599183825940586 * 24684491186197614914,-1587153520346818388686394908435871499604
what is 41696026527801990161 + -12122224406283809916,29573802121518180245
what is 9821189923458256489 + -32105904053142126915,-22284714129683870426
what is 89828397666997480044 - -86333028799387483590,176161426466384963634
what is -17383030971708725619 * -75248967402700392891,1308055130950241229659710885384217174529
what is 25845772512721526968 / 79303646646196276496,0.33
what is 13924088377459185384 + 13638505829302683632,27562594206761869016
what is 60255764575848362445 / -87748756988637557246,-0.69
what is -60961803980387648860 / -59284635621398279327,1.03
what is -56429521428903474244 * 69490420368597069073,-3921311165293258772560610034565344455812
what is 77401481070864564737 - -61933268474329104129,139334749545193668866
what is -13685673925911653954 * -87836083461905791167,1202095997188803929772627643367893824318
what is -55528833253614909263 - -39148140868745387849,-16380692384869521414
what is 11064417697958173735 * 56529530769682749189,625466340705348952837768342288492350915
what is 16292905041771293503 + 87032706637299261655,103325611679070555158
what is 70293270959888432976 / -20398149446162096776,-3.45
what is 75530994201226259630 * -55707497233325047932,-4207642650495102097012177191346826585160
what is 98015792001438261278 - -39277836838801856452,137293628840240117730
what is 53883833009864055095 * -8687515257784559989,-468116621421109309567197864371828593955
what is -87017760449998451952 + -24279326541319497117,-111297086991317949069
what is 77817398819095668926 / 27576146574934947233,2.82
what is 36325523453277266820 / -88099116088740155551,-0.41
what is -19853080064226484149 - 48376484986574882785,-68229565050801366934
what is 16068803391299198134 + -32228219159760608112,-16159415768461409978
what is 73312626850155890471 / 22103387805061102736,3.32
what is -83727795145598026510 / 73853463922765272045,-1.13
what is -65063209071770478687 - 8269023405133409965,-73332232476903888652
what is 31171946348844149671 - -43786519866366726639,74958466215210876310
what is -18512986879802778209 * 5977386394100015478,-110659275889485225101867491754301118902
what is 61828525548717924200 - -53246901037482197672,115075426586200121872
what is -63728428299007616000 * 13097808930501445091,-834702777301562970510493729214813056000
what is 40157911154761952737 - 16908302800794589350,23249608353967363387
what is 69884271608235757414 / -69217529652841035091,-1.01
what is -85737120647704165594 + 18835316203605644342,-66901804444098521252
what is 25983327633444646229 + 27950520405367398468,53933848038812044697
what is -67922408864687929986 - -71121199398360995847,3198790533673065861
what is 25888100959365464137 * -57537486721054850947,-1489536265182817740222292029004008987739
what is -4471599356706513462 - -55379393862848297496,50907794506141784034
what is 53571408300908845488 + 61586963514577220397,115158371815486065885
what is -49917712010288397027 / -14167346862313256431,3.52
what is -69418561645575198358 * -83889330072213519854,5823476631023959534498587637875421199732
what is 44822141661304467843 * 55150906622377633381,2471981749377584993619914119407957867183
what is -91154133232420440940 + 58073805679776576475,-33080327552643864465
what is 83546126956046917957 * 97198171213901526678,8120530752132201919539901401798912756846
what is 61060371543407206952 * -13932839443775350846,-850744353091561930364544511368730281392
what is -99298564359801191108 - 39061997892973867431,-138360562252775058539
what is -81080019662037186208 - -74960307687590822833,-6119711974446363375
what is 87766507522577836195 - -54039207461890004261,141805714984467840456
what is -64396245726137970604 + -68486182106807928056,-132882427832945898660
what is -32532287997447907695 + 69727517490369951231,37195229492922043536
what is 33878496459991461896 / 77710876893261069401,0.44
what is -18745908358386595083 + 97242379339563876794,78496470981177281711
what is 52196355246518690487 * 75168896671371387097,3923542434147757230536518964593208446239
what is 51749552159861057757 - 46732875920017610765,5016676239843446992
what is -93243586534246291074 + 26123366637201078676,-67120219897045212398
what is 15246962949741808450 / 50594453324393956550,0.3
what is 91688528143330747096 + -24211500548395436418,67477027594935310678
what is -48200443528870985959 / 64396080003504622896,-0.75
what is 17471490345266604422 * 17936638250791137902,313379802025237041539831818553085002644
what is -71474207120590652058 + 58568637677683509850,-12905569442907142208
what is -61825851638765251824 / 56982682874019999862,-1.08
what is -12486709906848349830 - 52960002493044309714,-65446712399892659544
what is -24355597919889125060 + 63093560318318904190,38737962398429779130
what is 97526085756379408087 - 48189314020786945957,49336771735592462130
what is -32914713170573375275 / -76320791461392433212,0.43
what is 66188742963438044149 - 8447728350821253106,57741014612616791043
what is -68541623518999932795 + 31874625027847017593,-36666998491152915202
what is 23954214861579545142 + 5623950091590893124,29578164953170438266
what is 78710175432995334083 * 52754762591290093880,4152336618486462817746233985539033712040
what is 73691714343826795845 + 94646441241563491412,168338155585390287257
what is 25290080644203821270 * -24204619009393776633,-612136766709797420786653573135434383910
what is -20537182579573735697 * 36996259846842666802,-759798943235960499729557433044984230994
what is 15985700397763543977 + -85918796657351357349,-69933096259587813372
what is -30434345193768049555 + 86785818629510119293,56351473435742069738
what is -60493539010343056829 - 36893465048808594381,-97387004059151651210
what is -33851716656819920186 / 6918114767425960208,-4.89
what is -84540324956639684039 + 28929216604839102533,-55611108351800581506
what is 23820374432288036712 / -39193119341491204620,-0.61
what is 94489360431244002740 * 52806404358436606858,4989643374502330768423214909987654790920
what is 72462820614634379244 - 51287845800527072236,21174974814107307008
what is -47667026884181767366 + -85666730083924044993,-133333756968105812359
what is -13117326835391467575 - -6535495785576384272,-6581831049815083303
what is -98760084764727192750 * 62140840549278196800,-6137034679998111403711414677646033200000
what is -92362106529942673833 + -78733204741352887154,-171095311271295560987
what is 6609126853500109607 * -52672105909242384851,-348116629595175652790638090658576363557
what is 6632216306057034190 / -75944683653773216650,-0.09
what is 17527805193218781088 * 15032754213175717347,263491187366082849858641950347357133536
what is 41539350070645184923 / -78035650953545553815,-0.53
what is -11544889879774927207 * 11324415540985056842,-130739130373484290131528446245307300294
what is -52770166214020857403 / -66757569734839644596,0.79
what is -60858872589362038851 + -82320231493599678503,-143179104082961717354
what is 85767841746248478029 * 16855344310770485409,1445646503424692618619170697799801578861
what is 25422017145928421198 + -61520485452669973875,-36098468306741552677
what is 95905436747107420547 - 13134569256333578760,82770867490773841787
what is 8537441338044928994 - 24070977685804340064,-15533536347759411070
what is -79836925665792567841 * -11289736469628456005,901337851312114454299100255773046335205
what is 12897900702001048616 + -80503537441834939685,-67605636739833891069
what is 68796473452313745799 * 10435551703383957298,717929155722101907321742663382242891102
what is -92867464471712104824 * -43740804074129619900,4062097568318352563898811128832076397600
what is 95473319880428710320 / 96291318571475925040,0.99
what is -42122122220648785826 / 4556229329645125393,-9.24
what is -64610787048219404950 + -68613475456935880725,-133224262505155285675
what is 40715823792684943881 - 21048178048723424204,19667645743961519677
what is -91578406584459666177 * 30436461912181581779,-2787322683986185610682086650362165788883
what is -59168956555766343207 / 39287374004247229451,-1.51
what is 80130354775493422850 / -66327739067753426243,-1.21
what is 83780643557094604219 / -15101306170656817157,-5.55
what is -94877294252226665464 / -27547450739468121026,3.44
what is -42544087589741229814 * -77931886690202553602,3315541013381766186471003360006735490028
what is -13138805736759424439 - 61868578566398864806,-75007384303158289245
what is -50455309793135403171 / 8378726355158299933,-6.02
what is -46838366322066880670 - -75427260601499886543,28588894279433005873
what is -33390229381310403161 * 77149463927259321549,-2576038297176321282664022998644525016389
what is -61861497038527680414 * 48654957154161056117,-3009868487901825350291007249360495792438
what is 14346065254993913029 - -26931638897006958988,41277704152000872017
what is 3551345176004882525 * -88122193612718998418,-312952327185497886088684872395750845450
what is 33030654132189423628 / -88420493641562152134,-0.37
what is -10777496639420404752 / 59620334857633884123,-0.18
what is -28077483522290148059 + 20332789758426457847,-7744693763863690212
what is 12750421163861347212 / -16613330621970228885,-0.77
what is -29307463925992914555 * -56494516936959969800,1655711017146350042226991036466780439000
what is 87740285645609622859 - 41998050858291176211,45742234787318446648
what is -38926149783863079342 - -65303802743102523148,26377652959239443806
what is 74726273635768384035 * 39589766454595061011,2958395721262234476720595142255703359385
what is 51591109290770540835 - -37789809695088036820,89380918985858577655
what is 86198306836012771474 - -26856813563571980807,113055120399584752281
what is 23392157261571807160 / 70611698858317121832,0.33
what is -73508116680963530381 / -14163447528095295678,5.19
what is 32143365704769728242 - 22145408991829820535,9997956712939907707
what is 82351647188873929484 / 2036901110743983385,40.43
what is 87361496005399913042 / -38087115266061500676,-2.29
what is -7790198518316119865 * 70273667121947071601,-547445817490032304624194934129653453865
what is -97144664289745431926 + -52060659923465036232,-149205324213210468158
what is -90385526174599348479 - -77911377233976641347,-12474148940622707132
what is -63170086541435478867 + 82787158347793472282,19617071806357993415
what is 63475697013405925831 + -71901073964739013880,-8425376951333088049
what is -9390762712082168050 - 8104343281563885225,-17495105993646053275
what is -61666636119284258082 + 75705804657973556791,14039168538689298709
what is 26704909152323261716 * -25260936066904897665,-674591002769341379508435898107992293140
what is 85311935798657848232 / 68659723940335253210,1.24
what is 80415907030168466339 - -76840170464030496840,157256077494198963179
what is 11928828426572509720 / -6321363441515424831,-1.89
what is 97007371094046130109 + 17461908121963470768,114469279216009600877
what is -75766482695901200756 / -24172811860564984122,3.13
what is -45807463845382908003 * -90101049298646324320,4127300558178804521585693425048661532960
what is 13025142369927911841 / 740387542458757686,17.59
what is -5668264817982908357 * 19868019485787311068,-112617195854287089261398285329295795276
what is -89411758610623659379 / 58093921215486192617,-1.54
what is 83212600312814597173 * 2600960074566252628,216432651114470031421211158527972620644
what is 57014735076026763968 + 88581609009827787232,145596344085854551200
what is 39346391980627956149 - 55006324058676815095,-15659932078048858946
what is -55649886523554870821 * -15882356407579454085,883851331808451213075827018765875753785
what is 42810435461451540779 / -24601684577215200039,-1.74
what is 97448213004736206053 * 1665919121626146414,162340841412887758348312379849051043942
what is 10885313072049805907 - -2800624267224927704,13685937339274733611
what is -66007672576892633022 - 1273688271046577977,-67281360847939210999
what is 14797487548059862829 / -74023514968282353156,-0.2
what is 97964452657326922859 * 12143057868733474472,1189588017696721623658810866287389755448
what is 58671508510078749350 + -51679378915900704169,6992129594178045181
what is 81977680154162694474 + -99159392250391675517,-17181712096228981043
what is -38835390169092990799 - 63058859509219778399,-101894249678312769198
what is 25985653540240381566 * 49461211149627470800,1285281896614894119667670743747523272800
what is -657363892540584798 * 44410469439689985683,-29193839060429292913141142329067447034
what is 61117558628598299543 + -18382955740987492801,42734602887610806742
what is 4690522157322368444 / -51003755941179169974,-0.09
what is 58293302678160128219 + -61506654490436018022,-3213351812275889803
what is 24773629126148758378 / 8930028992859056620,2.77
